State,Description,Plate Image,Source
CA,California - Dismantlers - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/dismblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dismantlers - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DismScript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dismantlers - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DismSun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - New Vehicle Distributor - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DistBlock.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - New Vehicle Distributor - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/distrblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,"California - New Vehicle Distributor - Motorcycle, Blue + Gold",![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/distrmcblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - New Vehicle Distributor - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DistScript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - New Vehicle Distributor - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DistSun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dealers - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DlrBlock.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dealers - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/dlrblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dealers - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/dlrmc.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dealers - Motorcycle Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/dlrblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dealers - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/dlrscript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Dealers - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DlrSun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Disabled Person License Plates,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DPautocoml.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
